model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,249.62808400392532,laplace,0.9833202362060547,0.00029277801513671875
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,126.08633729815483,normal,0.9048061370849609,0.7423219680786133
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,130.3432004749775,poisson,1.0,0.0
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,125.61556649208069,poisson_gaussian,0.9833202362060547,0.00029277801513671875
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,124.56368604302406,salt_and_pepper,0.9048061370849609,0.7424812316894531
yolo11x,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,124.70888009667397,uniform,0.9435901641845703,0.002227783203125
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,699.3957375586033,laplace,0.8801158564753678,0.8036179217698826
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,687.2787410318851,normal,0.8714828270699434,0.8164466286668505
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,919.8787970542908,poisson,0.8872060435986215,0.8077281324232936
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1242.2076501250267,poisson_gaussian,0.8825231908869179,0.7996976430530853
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,639.0116869807243,salt_and_pepper,0.8560745395042818,0.8181072736965197
yolo11x,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,470.7892743051052,uniform,0.8721248408929353,0.8085108326306327
yolo11x,000000001532,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,240.05970379710197,laplace,1.0,0.0
yolo11x,000000001532,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,124.30351084470749,normal,0.9435901641845703,0.002227783203125
yolo11x,000000001532,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,122.37179878354073,salt_and_pepper,0.9435901641845703,0.002227783203125
yolo11x,000000001532,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,126.97784063220024,uniform,0.9834318161010742,0.0
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,688.410800755024,laplace,0.9072605166646989,0.005720536686518132
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,687.3687128722668,normal,0.8802749134334672,0.8123636756991763
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1044.827403575182,poisson,0.8939792877705045,0.8000293332994382
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1358.9039316177368,poisson_gaussian,0.8914787694264457,0.8078357485125497
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,652.2876833081245,salt_and_pepper,0.8744922903945009,0.805942455996334
yolo11x,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,470.11286103725433,uniform,0.8918512621634472,0.8023885523850287
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.7455382943153381,0.7455382943153381,0.7455382943153381,249.62808400392532,laplace,0.013050079345703125,0.00029277801513671875
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.7905005812644958,0.7905005812644958,0.7905005812644958,126.08633729815483,normal,0.012570381164550781,0.7423219680786133
