model,image,gt_index,epsilon,method,iou,iou_0.5,iou_0.7,time
yolo11m,000000144333,5,2/255,odpv,0.894496738910675,0.894496738910675,0.894496738910675,20.767005443572998
yolo11m,000000144333,5,2/255,pgd,0.5054850578308105,0.5054850578308105,0.0,0.9848237633705139
yolo11m,000000144333,5,2/255,rcp,0.9254712751540065,0.9254712751540065,0.9254712751540065,316.5062210261822
yolo11m,000000144333,5,2/255,square_attack,0.893827497959137,0.893827497959137,0.893827497959137,82.83339229226112
yolo11m,000000144333,6,1/255,odpv,0.0,0.0,0.0,0.05949521064758301
yolo11m,000000144333,6,1/255,pgd,0.0,0.0,0.0,1.3829947412014008
yolo11m,000000144333,6,1/255,rcp,0.27844359054944384,0.0,0.0,316.3414745628834
yolo11m,000000144333,6,1/255,square_attack,0.2590065598487854,0.0,0.0,85.07872265577316
yolo11m,000000144333,6,2/255,odpv,0.0,0.0,0.0,0.04533958435058594
yolo11m,000000144333,6,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,6,2/255,rcp,0.2728746221180584,0.0,0.0,316.5062210261822
yolo11m,000000144333,6,2/255,square_attack,0.0,0.0,0.0,82.83339229226112
yolo11m,000000144333,7,1/255,odpv,0.0,0.0,0.0,0.20786523818969727
yolo11m,000000144333,7,1/255,pgd,0.10483957082033157,0.0,0.0,1.3829947412014008
yolo11m,000000144333,7,1/255,rcp,0.38661646190493393,0.0,0.0,316.3414745628834
yolo11m,000000144333,7,1/255,square_attack,0.31283241510391235,0.0,0.0,85.07872265577316
yolo11m,000000144333,7,2/255,odpv,0.0,0.0,0.0,0.192291259765625
yolo11m,000000144333,7,2/255,pgd,0.0,0.0,0.0,0.9848237633705139
yolo11m,000000144333,7,2/255,rcp,0.37155868189935143,0.0,0.0,316.5062210261822
yolo11m,000000144333,7,2/255,square_attack,0.2786870300769806,0.0,0.0,82.83339229226112
yolo11m,000000146498,0,1/255,odpv,0.0,0.0,0.0,0.0001914501190185547
yolo11m,000000146498,0,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,0,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,0,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,0,2/255,odpv,0.0,0.0,0.0,0.00058746337890625
yolo11m,000000146498,0,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
yolo11m,000000146498,0,2/255,rcp,0.0,0.0,0.0,445.19415163993835
yolo11m,000000146498,0,2/255,square_attack,0.0,0.0,0.0,0.11777810255686443
yolo11m,000000146498,1,1/255,odpv,0.0,0.0,0.0,6.723403930664062e-05
yolo11m,000000146498,1,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,1,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,1,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,1,2/255,odpv,0.0,0.0,0.0,0.00029158592224121094
yolo11m,000000146498,1,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
yolo11m,000000146498,1,2/255,rcp,0.0,0.0,0.0,445.19415163993835
yolo11m,000000146498,1,2/255,square_attack,0.0,0.0,0.0,0.11777810255686443
yolo11m,000000146498,2,1/255,odpv,0.0,0.0,0.0,7.128715515136719e-05
yolo11m,000000146498,2,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,2,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,2,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,2,2/255,odpv,0.0,0.0,0.0,0.0002884864807128906
yolo11m,000000146498,2,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
yolo11m,000000146498,2,2/255,rcp,0.0,0.0,0.0,445.19415163993835
yolo11m,000000146498,2,2/255,square_attack,0.0,0.0,0.0,0.11777810255686443
yolo11m,000000146498,3,1/255,odpv,0.0,0.0,0.0,6.270408630371094e-05
yolo11m,000000146498,3,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,3,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,3,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,3,2/255,odpv,0.0,0.0,0.0,0.00028014183044433594
yolo11m,000000146498,3,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
yolo11m,000000146498,3,2/255,rcp,0.0,0.0,0.0,445.19415163993835
yolo11m,000000146498,3,2/255,square_attack,0.0,0.0,0.0,0.11777810255686443
yolo11m,000000146498,4,1/255,odpv,0.0,0.0,0.0,5.936622619628906e-05
yolo11m,000000146498,4,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,4,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,4,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,4,2/255,odpv,0.0,0.0,0.0,0.00027942657470703125
yolo11m,000000146498,4,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
yolo11m,000000146498,4,2/255,rcp,0.0,0.0,0.0,445.19415163993835
yolo11m,000000146498,4,2/255,square_attack,0.0,0.0,0.0,0.11777810255686443
yolo11m,000000146498,5,1/255,odpv,0.0,0.0,0.0,6.794929504394531e-05
yolo11m,000000146498,5,1/255,pgd,0.0,0.0,0.0,0.10571046670277913
yolo11m,000000146498,5,1/255,rcp,0.0,0.0,0.0,449.027047475179
yolo11m,000000146498,5,1/255,square_attack,0.0,0.0,0.0,0.14688146114349365
yolo11m,000000146498,5,2/255,odpv,0.0,0.0,0.0,0.00028061866760253906
yolo11m,000000146498,5,2/255,pgd,0.0,0.0,0.0,0.12420761585235596
