model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,14380,0,2/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,292.83350229263306,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.25,rcp,pgd,0.0,0.0,0.0,2252.1273139715195,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,279.4928780794144,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.45,rcp,pgd,0.0,0.0,0.0,2318.116001367569,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,290.40946090221405,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.65,rcp,pgd,0.0,0.0,0.0,2281.343045353889,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,0,2/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,297.3792057037353,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.25,0.25,rcp,pgd,0.963183751342008,0.963183751342008,0.963183751342008,2275.5286301374435,0.0,0.0,0.0,0.963183751342008,0.963183751342008,0.963183751342008,False,False,True,True,False,False,False,False
yolo11x,14380,1,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,292.6855480670929,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.25,0.45,rcp,pgd,0.9635220011096708,0.9635220011096708,0.9635220011096708,2350.8646490573883,0.0,0.0,0.0,0.9635220011096708,0.9635220011096708,0.9635220011096708,False,False,True,True,False,False,False,False
yolo11x,14380,1,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,290.71732234954834,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.25,0.65,rcp,pgd,0.9632882201755516,0.9632882201755516,0.9632882201755516,2328.9469122886658,0.0,0.0,0.0,0.9632882201755516,0.9632882201755516,0.9632882201755516,False,False,True,True,False,False,False,False
yolo11x,14380,1,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,292.6188703775406,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.45,0.25,rcp,pgd,0.9631920623467226,0.9631920623467226,0.9631920623467226,2331.155091047287,0.0,0.0,0.0,0.9631920623467226,0.9631920623467226,0.9631920623467226,False,False,True,True,False,False,False,False
yolo11x,14380,1,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,295.7464772462845,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.45,0.45,rcp,pgd,0.963403015432438,0.963403015432438,0.963403015432438,2329.724330306053,0.0,0.0,0.0,0.963403015432438,0.963403015432438,0.963403015432438,False,False,True,True,False,False,False,False
yolo11x,14380,1,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,290.7253499031067,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,14380,1,2/255,0.45,0.65,rcp,pgd,0.9628204039132562,0.9628204039132562,0.9628204039132562,2256.259411931038,0.0,0.0,0.0,0.9628204039132562,0.9628204039132562,0.9628204039132562,False,False,True,True,False,False,False,False
