model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000084492,4,2/255,0.45,0.25,rcp,0.9344521498518674,0.9344521498518674,0.9344521498518674,444.31278368404935
yolo11x,000000084492,4,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,109.34273856026786
yolo11x,000000084492,5,1/255,0.45,0.25,odpv,0.8339882493019104,0.8339882493019104,0.8339882493019104,52.62797141075134
yolo11x,000000084492,5,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,5,1/255,0.45,0.25,rcp,0.9180349560033618,0.9180349560033618,0.9180349560033618,447.5844217027937
yolo11x,000000084492,5,1/255,0.45,0.25,square_attack,0.8853510618209839,0.8853510618209839,0.8853510618209839,111.7209736279079
yolo11x,000000084492,5,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.06389594078063965
yolo11x,000000084492,5,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,5,2/255,0.45,0.25,rcp,0.8955418260279061,0.8955418260279061,0.8955418260279061,444.31278368404935
yolo11x,000000084492,5,2/255,0.45,0.25,square_attack,0.8923981189727783,0.8923981189727783,0.8923981189727783,109.34273856026786
yolo11x,000000084492,6,1/255,0.45,0.25,odpv,0.8848026394844055,0.8848026394844055,0.8848026394844055,52.63286209106445
yolo11x,000000084492,6,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,6,1/255,0.45,0.25,rcp,0.9363989001180326,0.9363989001180326,0.9363989001180326,447.5844217027937
yolo11x,000000084492,6,1/255,0.45,0.25,square_attack,0.9294529557228088,0.9294529557228088,0.9294529557228088,111.7209736279079
yolo11x,000000084492,6,2/255,0.45,0.25,odpv,0.8846285939216614,0.8846285939216614,0.8846285939216614,52.22328281402588
yolo11x,000000084492,6,2/255,0.45,0.25,pgd,0.0,0.0,0.0,7.164834260940552
yolo11x,000000084492,6,2/255,0.45,0.25,rcp,0.9342725128323449,0.9342725128323449,0.9342725128323449,444.31278368404935
yolo11x,000000084492,6,2/255,0.45,0.25,square_attack,0.9176214933395386,0.9176214933395386,0.9176214933395386,109.34273856026786
yolo11x,000000191013,0,1/255,0.45,0.25,odpv,0.9480875730514526,0.9480875730514526,0.9480875730514526,52.88180327415466
yolo11x,000000191013,0,1/255,0.45,0.25,pgd,0.0,0.0,0.0,696.2522819042206
yolo11x,000000191013,0,1/255,0.45,0.25,rcp,0.9555929611560005,0.9555929611560005,0.9555929611560005,433.81685304641724
yolo11x,000000191013,0,1/255,0.45,0.25,square_attack,0.9487801194190979,0.9487801194190979,0.9487801194190979,173.93602299690247
yolo11x,000000191013,0,2/255,0.45,0.25,odpv,0.943175196647644,0.943175196647644,0.943175196647644,52.892720460891724
yolo11x,000000191013,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,0,2/255,0.45,0.25,rcp,0.9551829927069557,0.9551829927069557,0.9551829927069557,432.131336838007
yolo11x,000000191013,0,2/255,0.45,0.25,square_attack,0.9376398324966431,0.9376398324966431,0.9376398324966431,173.07340291142464
yolo11x,000000191013,1,1/255,0.45,0.25,odpv,0.8442828059196472,0.8442828059196472,0.8442828059196472,54.558536529541016
yolo11x,000000191013,1,1/255,0.45,0.25,pgd,0.704277515411377,0.704277515411377,0.704277515411377,696.2522819042206
yolo11x,000000191013,1,1/255,0.45,0.25,rcp,0.8932694719003598,0.8932694719003598,0.8932694719003598,433.81685304641724
yolo11x,000000191013,1,1/255,0.45,0.25,square_attack,0.8902848958969116,0.8902848958969116,0.8902848958969116,173.93602299690247
yolo11x,000000191013,1,2/255,0.45,0.25,odpv,0.8437734842300415,0.8437734842300415,0.8437734842300415,54.15471339225769
yolo11x,000000191013,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,1,2/255,0.45,0.25,rcp,0.8891553162047736,0.8891553162047736,0.8891553162047736,432.131336838007
yolo11x,000000191013,1,2/255,0.45,0.25,square_attack,0.8823540806770325,0.8823540806770325,0.8823540806770325,173.07340291142464
yolo11x,000000191013,2,1/255,0.45,0.25,odpv,0.9461879134178162,0.9461879134178162,0.9461879134178162,55.062227725982666
yolo11x,000000191013,2,1/255,0.45,0.25,pgd,0.9082164764404297,0.9082164764404297,0.9082164764404297,696.2522819042206
yolo11x,000000191013,2,1/255,0.45,0.25,rcp,0.9788932447690912,0.9788932447690912,0.9788932447690912,433.81685304641724
yolo11x,000000191013,2,1/255,0.45,0.25,square_attack,0.9644793272018433,0.9644793272018433,0.9644793272018433,173.93602299690247
yolo11x,000000191013,2,2/255,0.45,0.25,odpv,0.9462296366691589,0.9462296366691589,0.9462296366691589,54.256022453308105
yolo11x,000000191013,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,2,2/255,0.45,0.25,rcp,0.9769005687839664,0.9769005687839664,0.9769005687839664,432.131336838007
yolo11x,000000191013,2,2/255,0.45,0.25,square_attack,0.9555116295814514,0.9555116295814514,0.9555116295814514,173.07340291142464
yolo11x,000000191013,3,1/255,0.45,0.25,odpv,0.8580743670463562,0.8580743670463562,0.8580743670463562,52.84448170661926
yolo11x,000000191013,3,1/255,0.45,0.25,pgd,0.0,0.0,0.0,696.2522819042206
yolo11x,000000191013,3,1/255,0.45,0.25,rcp,0.8766277337111877,0.8766277337111877,0.8766277337111877,433.81685304641724
yolo11x,000000191013,3,1/255,0.45,0.25,square_attack,0.869731605052948,0.869731605052948,0.869731605052948,173.93602299690247
yolo11x,000000191013,3,2/255,0.45,0.25,odpv,0.8517183065414429,0.8517183065414429,0.8517183065414429,52.85671377182007
yolo11x,000000191013,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,3,2/255,0.45,0.25,rcp,0.8749353277116108,0.8749353277116108,0.8749353277116108,432.131336838007
yolo11x,000000191013,3,2/255,0.45,0.25,square_attack,0.8623664379119873,0.8623664379119873,0.8623664379119873,173.07340291142464
yolo11x,000000191013,4,1/255,0.45,0.25,odpv,0.7852705121040344,0.7852705121040344,0.7852705121040344,53.27003359794617
yolo11x,000000191013,4,1/255,0.45,0.25,pgd,0.0,0.0,0.0,696.2522819042206
yolo11x,000000191013,4,1/255,0.45,0.25,rcp,0.9056484661085068,0.9056484661085068,0.9056484661085068,433.81685304641724
yolo11x,000000191013,4,1/255,0.45,0.25,square_attack,0.8913277387619019,0.8913277387619019,0.8913277387619019,173.93602299690247
yolo11x,000000191013,4,2/255,0.45,0.25,odpv,0.7626324892044067,0.7626324892044067,0.7626324892044067,53.21514892578125
yolo11x,000000191013,4,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,4,2/255,0.45,0.25,rcp,0.8890390321131798,0.8890390321131798,0.8890390321131798,432.131336838007
yolo11x,000000191013,4,2/255,0.45,0.25,square_attack,0.8716918230056763,0.8716918230056763,0.8716918230056763,173.07340291142464
yolo11x,000000191013,5,1/255,0.45,0.25,odpv,0.7179356813430786,0.7179356813430786,0.7179356813430786,54.684675216674805
yolo11x,000000191013,5,1/255,0.45,0.25,pgd,0.0,0.0,0.0,696.2522819042206
yolo11x,000000191013,5,1/255,0.45,0.25,rcp,0.7413891601206516,0.7413891601206516,0.7413891601206516,433.81685304641724
yolo11x,000000191013,5,1/255,0.45,0.25,square_attack,0.7648194432258606,0.7648194432258606,0.7648194432258606,173.93602299690247
yolo11x,000000191013,5,2/255,0.45,0.25,odpv,0.6889809370040894,0.6889809370040894,0.0,54.24642825126648
yolo11x,000000191013,5,2/255,0.45,0.25,pgd,0.0,0.0,0.0,71.25120306015015
yolo11x,000000191013,5,2/255,0.45,0.25,rcp,0.7261916262857717,0.7261916262857717,0.7261916262857717,432.131336838007
yolo11x,000000191013,5,2/255,0.45,0.25,square_attack,0.7109435200691223,0.7109435200691223,0.7109435200691223,173.07340291142464
