model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,1/255,0.65,0.45,rcp,pgd,0.0,0.0,0.0,1267.925150692463,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.45,rcp,square_attack,0.0,0.0,0.0,1267.925150692463,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.45,rcp,rcp,0.0,0.0,0.0,1267.925150692463,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,145.735744535923,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.45,odpv,square_attack,0.0,0.0,0.0,145.735744535923,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.45,odpv,rcp,0.0,0.0,0.0,145.735744535923,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,rcp,pgd,0.0,0.0,0.0,1254.2309619784355,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,rcp,square_attack,0.0,0.0,0.0,1254.2309619784355,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,rcp,rcp,0.0,0.0,0.0,1254.2309619784355,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,146.23575699329376,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,odpv,square_attack,0.0,0.0,0.0,146.23575699329376,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.65,0.65,odpv,rcp,0.0,0.0,0.0,146.23575699329376,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.25,rcp,pgd,0.857201367992007,0.857201367992007,0.857201367992007,1233.3229507803917,0.0,0.0,0.0,0.857201367992007,0.857201367992007,0.857201367992007,False,False,True,True,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.25,rcp,square_attack,0.857201367992007,0.857201367992007,0.857201367992007,1233.3229507803917,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.011681527274691295,0.011681527274691295,0.011681527274691295,True,True,False,False,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.25,rcp,rcp,0.857201367992007,0.857201367992007,0.857201367992007,1233.3229507803917,0.857201367992007,0.857201367992007,0.857201367992007,0.0,0.0,0.0,True,True,False,False,False,False,False,False
